ujahr,umonat,weekday,uwochentag,long,lat,time_of_day,ustunde,light_condition,ulichtverh,street_condition,ustrzustand,uart,utyp1,ist_rad,ist_pkw,ist_fuss,ist_krad,ist_gkfz,ist_sonstige,ukategorie,accident_outcome
2018,1,Sun,1,52.56705917,13.56261332,night,3,dark,2,dry,0,1,5,0,1,0,0,1,0,2,seriously_injured
2018,1,Tue,3,52.43769417,13.38025961,evening,20,dark,2,wet,1,6,2,0,1,1,0,0,0,2,seriously_injured
2018,1,Wed,4,52.47302409,13.36534305,evening,19,dark,2,wet,1,2,6,0,1,0,0,0,0,3,slightly_injured
2018,1,Tue,3,52.45203552,13.31120027,evening,18,dark,2,wet,1,6,4,0,1,1,0,0,0,2,seriously_injured
2018,1,Thu,5,52.505079,13.57994696,afternoon,15,daylight,0,dry,0,5,2,1,1,0,0,0,0,3,slightly_injured
2018,1,Mon,2,52.45581365,13.51090542,morning,8,daylight,0,dry,0,5,2,1,1,0,0,0,0,3,slightly_injured
2018,1,Thu,5,52.62762084,13.31132041,morning,6,daylight,0,wet,1,5,2,1,1,0,0,0,0,3,slightly_injured
2018,1,Fri,6,52.48226095,13.38580817,evening,22,dark,2,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,1,Wed,4,52.51435211,13.46759778,evening,20,dark,2,wet,1,6,2,0,1,1,0,0,0,3,slightly_injured
2018,1,Sat,7,52.51854444,13.41085944,evening,23,dark,2,dry,0,6,7,0,1,1,0,0,0,3,slightly_injured
2018,1,Wed,4,52.50843719,13.56203103,morning,9,daylight,0,wet,1,3,6,0,1,0,0,1,0,3,slightly_injured
2018,1,Fri,6,52.46947297,13.38574109,afternoon,13,daylight,0,dry,0,5,2,0,1,0,0,0,0,3,slightly_injured
2018,1,Tue,3,52.50926632,13.37472125,morning,8,daylight,0,dry,0,6,4,0,1,1,0,0,0,2,seriously_injured
2018,1,Wed,4,52.49162011,13.45780719,afternoon,17,dark,2,dry,0,0,4,0,0,1,0,0,1,3,slightly_injured
2018,1,Tue,3,52.51376294,13.47349649,morning,9,daylight,0,wet,1,6,4,0,1,1,0,0,0,2,seriously_injured
2018,1,Fri,6,52.58081839,13.34550162,morning,6,dark,2,wet,1,5,3,0,1,0,0,0,0,3,slightly_injured
2018,3,Sat,7,52.42753172,13.21469962,afternoon,13,daylight,0,dry,0,5,2,0,1,0,0,0,0,3,slightly_injured
2018,11,Mon,2,52.52219952,13.41593143,evening,18,dark,2,dry,0,3,6,1,1,0,0,0,0,3,slightly_injured
2018,8,Thu,5,52.48010314,13.35213303,evening,19,daylight,0,dry,0,5,2,1,1,0,0,0,0,3,slightly_injured
2018,10,Fri,6,52.51731745,13.39462387,evening,22,dark,2,dry,0,1,5,1,1,0,0,0,0,3,slightly_injured
2018,8,Tue,3,52.51842753,13.42904261,afternoon,16,daylight,0,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
2018,4,Mon,2,52.51475407,13.46511441,evening,19,daylight,0,dry,0,3,6,1,0,0,0,0,0,2,seriously_injured
2018,4,Wed,4,52.6184162,13.43890139,afternoon,16,daylight,0,dry,0,2,6,0,1,0,0,0,0,3,slightly_injured
